Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Lag-1 AC
1,0.9883069992381331,0.9883069992381331,0.08079101659544867,0.9933750703898773,0.9607843137254903,0.7459339494517871
2,0.9840007949915532,0.9840007949915532,-0.6509987081387261,0.9914538408029416,0.9738562091503269,0.33316771009308027
3,0.9870813872602605,0.9870813872602605,-0.3444632150783398,0.9925800788366624,0.9738562091503269,0.3460531981847693
4,0.9900957302328665,0.9900957302328665,-0.5703070654874292,0.9944019344794461,0.9477124183006538,0.7469939381894068
5,0.9830401801980855,0.9830401801980855,-0.7367584219417669,0.9899963562887145,0.9607843137254903,0.40332571466428174
6,0.9821126900526682,0.9821126900526682,-0.27526582530060617,0.9886382457186393,0.9084967320261439,0.563450263340952
7,0.987810129517374,0.987810129517374,-0.8346417569313326,0.9934744443340291,0.9607843137254903,0.3744078969160953
8,0.9872470105005136,0.9872470105005136,-0.7676637185729902,0.9923813309483588,0.9738562091503269,0.12769551823511877
9,0.9830733048461361,0.9830733048461361,-0.1493590380602206,0.9904932260094736,0.9869281045751636,0.31577726986650767
10,0.987280135148564,0.987280135148564,-0.6226771340554507,0.9917850872834477,0.9084967320261439,0.463877571300805
11,0.9744277717049257,0.9744277717049257,-0.5132995461923218,0.9861870217628937,0.8692810457516341,0.39309019841664183
12,0.9622710258703503,0.9622710258703503,0.6462618834674883,0.982311437940972,0.8169934640522877,-0.030375302262413466
13,0.9866176421875519,0.9866176421875519,-0.6484149855907781,0.9927457020769156,0.9869281045751636,0.18261618470303753
14,0.96064791811587,0.96064791811587,0.0918546490443539,0.9766802477723675,0.7647058823529412,0.8093345258206632
15,0.9779721090463415,0.9779721090463415,-0.10497200967239724,0.986352645003147,0.934640522875817,-0.46748815793832194
16,0.9869820133161086,0.9869820133161086,-0.7216867070787373,0.9920500844678526,0.934640522875817,0.22104077644175033
17,0.9818808175163141,0.9818808175163141,0.193746066448044,0.9895988605121071,0.9477124183006538,0.21415084964722253
18,0.9847626618967175,0.9847626618967175,-0.4280367021100401,0.9901951041770183,0.9869281045751636,0.5353274371459804
19,0.9794958428566698,0.9794958428566698,-0.17118818112557554,0.9864851435953493,0.9738562091503269,-0.052999436880983145
20,0.984199542879857,0.984199542879857,-0.2536685547716056,0.9908907217860811,0.8169934640522877,-0.2146145947199311
21,0.9803570837059856,0.9803570837059856,0.5510616449700222,0.9867832654278049,0.8169934640522877,-0.013680479644903773
22,0.95902481036139,0.95902481036139,-0.2607572294544371,0.9782371062307464,0.8300653594771243,-0.6585511278942662
23,0.9818808175163141,0.9818808175163141,-0.5090264665937925,0.9915200900990427,0.8562091503267976,-0.30908609096028355
24,0.989698234456259,0.989698234456259,-0.38828712444930275,0.9933750703898773,0.8692810457516341,-0.48802543972970286
25,0.9857232766901853,0.9857232766901853,-0.45191957335453314,0.9929113253171686,0.9215686274509804,0.6963463513200173
26,0.9726390407101926,0.9726390407101926,0.37420914902779157,0.9841664182318064,0.9738562091503269,-0.05429129815495711
27,0.9745271456490775,0.9745271456490775,0.1147437808473285,0.9851270330252742,0.934640522875817,-0.29487561694656994
28,0.9756202590347478,0.9756202590347478,0.15783894796117792,0.9861538971148432,0.9215686274509804,-0.754877604425453
29,0.9877770048693233,0.9877770048693233,-0.1449865845175395,0.9925800788366624,0.8823529411764707,0.3996820033787141
30,0.9902282288250688,0.9902282288250688,0.06820365033621519,0.9951638013846104,1.0,0.7695186988638246
31,0.9844976647123125,0.9844976647123125,-0.3836496737222167,0.9904269767133725,0.9607843137254903,0.5897181092450894
32,0.982477061181225,0.982477061181225,-0.12007684918347744,0.9888038689588924,0.9738562091503269,-0.02914969028454073
33,0.98436516612011,0.98436516612011,0.13263109079466032,0.9895326112160059,1.0,0.6478518665739178
34,0.9727384146543444,0.9727384146543444,-0.18192056709397464,0.9853257809135779,0.7908496732026145,-0.26976713372420424
35,0.9850276590811223,0.9850276590811223,-0.48060551856636524,0.9902282288250688,0.9738562091503269,0.7417602437974097
36,0.9828083076617311,0.9828083076617311,-0.8980092086521582,0.9889694921991454,0.934640522875817,0.7724999171883798
37,0.9817151942760608,0.9817151942760608,0.15608334161449536,0.9888701182549936,0.9477124183006538,0.6166153234621883
38,0.9859220245784889,0.9859220245784889,0.2913975289012555,0.990725098545828,0.9738562091503269,-0.3046473881215012
39,0.9850276590811223,0.9850276590811223,0.025009109278213922,0.990128854880917,0.9869281045751636,0.6927688893305509
40,0.9865182682434,0.9865182682434,0.012322369074828582,0.992613203484713,0.9869281045751636,0.8520321971579053
41,0.9751233893139887,0.9751233893139887,0.003378714101162675,0.9866838914836531,0.9477124183006538,0.1200105998873762
42,0.9880420020537283,0.9880420020537283,-0.8715426148597172,0.9926794527808143,0.934640522875817,0.20444532776839247
43,0.989698234456259,0.989698234456259,-0.20716154890854285,0.9934744443340291,0.934640522875817,0.5501672794726556
44,0.9823776872370732,0.9823776872370732,-0.42396237039981455,0.990725098545828,0.9738562091503269,0.7894928616383451
45,0.9783696048229488,0.9783696048229488,0.5851137831660539,0.9879095034615258,0.934640522875817,-0.018582927556394718
46,0.9788333498956574,0.9788333498956574,-0.4625194607307298,0.9858557752823877,0.934640522875817,0.26688528934380074
47,0.9866838914836531,0.9866838914836531,-0.7383484050481964,0.9915200900990427,0.9607843137254903,0.7557057206267184
48,0.9896651098082083,0.9896651098082083,-0.7063168703832523,0.9942031865911426,0.9738562091503269,0.06783927920765842
49,0.989698234456259,0.989698234456259,-0.4728874755705721,0.994335685183345,0.9477124183006538,-0.6154890854284674
50,0.9810527013150486,0.9810527013150486,0.3702673159097685,0.9900957302328665,0.9738562091503269,0.4579813839477956
51,0.9843320414720594,0.9843320414720594,-0.4367153598993011,0.9901619795289676,0.8692810457516341,-0.17592500579681342
52,0.9828414323097818,0.9828414323097818,0.329755871343867,0.9906588492497268,0.9477124183006538,0.5043227665706053
53,0.9866838914836531,0.9866838914836531,-0.5017059193746066,0.9916525886912453,0.8823529411764707,0.29865182682434005
54,0.9869820133161086,0.9869820133161086,-0.9118884361853656,0.9927125774288649,0.9738562091503269,0.09814833217397065
55,0.9770114942528736,0.9770114942528736,-0.8615720957964822,0.985822650634337,0.8823529411764707,-0.7526251283580112
56,0.9786014773593031,0.9786014773593031,-0.2693365132995462,0.9874788830368678,0.934640522875817,0.12328994004438704
57,0.9804564576501376,0.9804564576501376,0.403557587200636,0.9910563450263342,0.9869281045751636,0.49269601510483957
58,0.9752227632581405,0.9752227632581405,-0.3749047666368545,0.9867170161317037,0.9607843137254903,0.45119083109741964
59,0.9803570837059856,0.9803570837059856,-0.5145251581701945,0.9887044950147406,0.9607843137254903,-0.2815926330782736
60,0.976117128755507,0.976117128755507,-0.23972307794229689,0.9849614097850211,0.803921568627451,0.7856172778164233
61,0.9783033555268477,0.9783033555268477,0.02706283745735202,0.9865845175395012,0.9084967320261439,-0.7665706051873199
62,0.9909569710821823,0.9909569710821823,-0.0728079764152506,0.9950975520885091,0.9607843137254903,0.6963132266719666
