Noise,h,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax
add,0.15,0.8239241397834045,0.8192332085219867,0.004690931261417841,0.008992064417547801,8.085722248932928e-05,0.5030158251124811,0.2128466131696887,0.1093937304952748,0.010976179623587122,-0.010527889542152395,-0.12126292255771398,4.358263940769439e-06
add,0.151,0.8247353674213619,0.8189829664216932,0.005752400999668672,0.00872894881082978,7.619454734208665e-05,0.5451102782217416,0.2678457601757616,0.17263043036621872,0.01065843654568378,-0.05783935003656236,-0.45234723950054523,5.859980056830882e-06
add,0.152,0.8143619681824656,0.8176509099906758,-0.003288941808210155,0.008358223465711839,6.985989950277603e-05,0.4860238604646452,0.22876711479747414,0.1347591081992045,0.010222225011644158,0.15987409462642171,0.17348684179637908,4.3139960690720416e-06
add,0.153,0.8322817581401534,0.8145350165832037,0.017746741556949663,0.008421634232184056,7.092392314069432e-05,0.5010156534025186,0.2705885777393802,0.10601359895168548,0.010339197963937138,0.08669213313161866,0.012082086261194724,3.991459038282871e-06
add,0.154,0.8117502358460033,0.8130677461509003,-0.0013175103048970183,0.008774993243530042,7.700050642399789e-05,0.527517635475143,0.272434115025095,0.14280560936918316,0.01079247151610541,-0.08210981538911392,0.1608962996660295,4.494593498467416e-06
add,0.155,0.8019994887961602,0.8117971580362845,-0.009797669240124263,0.008474195220873332,7.181198464147242e-05,0.48068431079578683,0.20260125265027804,0.06517584682915109,0.010438788048227107,0.0152398928602847,0.1925980406588015,3.864235976690799e-06
add,0.156,0.7997408145614503,0.8117832693317151,-0.012042454770264777,0.008618992054493667,7.428702403542495e-05,0.5295566757807453,0.2800588770137991,0.15246606834623364,0.010617413405788966,0.01688978053349108,-0.13008517318590887,4.257500619037806e-06
add,0.157,0.8145323327386096,0.8088520525749163,0.005680280163693263,0.009164967908118878,8.399663675684894e-05,0.5461244440737847,0.2974555719808765,0.1905993792015265,0.011330755993525387,-0.12061790526877728,-0.15355950673341404,5.210625666970263e-06
add,0.158,0.8019250413081911,0.8072877843589495,-0.005362743050758456,0.008967397544232753,8.041421871631162e-05,0.5269422968888534,0.24984303602778582,0.10511488456961326,0.011107977802846026,-0.09425896502745935,0.020303806191860313,4.5094228618666e-06
add,0.159,0.7991475621168879,0.8057307894568562,-0.0065832273399683006,0.009309693967015378,8.667040175948254e-05,0.5476139785011941,0.29045473739592725,0.14404197670269417,0.011554244671458195,0.016289712985256884,-0.23971208031435753,5.231530266414236e-06
add,0.16,0.8052693872907412,0.8047091371667465,0.0005602501239946323,0.009022654677997767,8.140829743839499e-05,0.5349980148576383,0.27244569761921017,0.16236186635471062,0.0112122428506499,-0.047967910332677666,-0.06210180292278026,5.602535989583052e-06
add,0.161,0.8063863078731823,0.8019984680751329,0.004387839798049464,0.008983407529034674,8.070161083271686e-05,0.5507419407326187,0.2983776410474545,0.19806291662160555,0.011201203115369382,-0.0008731478868685087,0.023991094690944924,6.646491094281282e-06
add,0.162,0.791835766667014,0.8014875330330499,-0.009651766366035819,0.009168917490667583,8.406904795066995e-05,0.5313166838414976,0.30338852056363946,0.18285701172952712,0.011440001416525522,0.024237186111629457,-0.20540260987631828,5.66815991629015e-06
add,0.163,0.799043121932375,0.7986340239841534,0.00040909794822163725,0.008894771894293059,7.911696705150575e-05,0.529138320744382,0.24525647548727506,0.11507684782284298,0.011137592402349865,-0.0836811770605504,0.330675721582181,4.6363975986337705e-06
add,0.164,0.7909680882743007,0.7980403979926535,-0.0070723097183528205,0.009059178209277251,8.206870982744377e-05,0.5122775661252885,0.27007117810038955,0.17326978967469123,0.011351746015267497,-0.022102916862951138,-0.018876576264792205,4.662900689845042e-06
add,0.165,0.7958147874563437,0.7956535255605882,0.00016126189575549343,0.008957596858149924,8.02385414731374e-05,0.4946237503234375,0.2517259609631415,0.08872524391683806,0.01125824958235331,-0.013158574975687676,-0.11901722007462744,4.411242027404369e-06
add,0.166,0.8171457287509988,0.7941556178614171,0.022990110889581694,0.009064598319148425,8.216694268750844e-05,0.5569954652541657,0.3074814605871546,0.20298161793813219,0.01141411199166902,-0.18562010889234362,0.10561458961885208,5.132848890448575e-06
add,0.167,0.7928920847787727,0.7924389703784387,0.0004531144003340204,0.009146739023694266,8.366283476757153e-05,0.5369146453928327,0.27117609269091425,0.16311996323736086,0.011542510664199732,-0.004618897127674767,0.012740223727717957,5.183010333376954e-06
add,0.168,0.7994089932053755,0.7900623996660235,0.009346593539351966,0.009206478497642152,8.47592463275473e-05,0.5540025714704517,0.2852516472657057,0.11810776745993079,0.011652838507754639,0.0006517304127517232,0.003218722023703308,6.004884619990043e-06
add,0.169,0.7997927155139659,0.7889706702723404,0.010822045241625555,0.009130438297912382,8.336490351198514e-05,0.5251589477645865,0.26944976020172834,0.1113393871551417,0.011572603629474345,-0.038239315889935246,-0.2300441168145908,4.944301712327924e-06
