Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Lag-1 AC
1,0.9881745006459307,0.9881745006459307,-0.045016396700785055,0.9974825267481534,0.9607843137254903,0.8863824571863924
2,0.9854251548577297,0.9854251548577297,-0.07065487429196066,0.9956937957534202,0.9869281045751636,0.7197986021398524
3,0.9843320414720594,0.9843320414720594,-0.537844910397827,0.9946006823677499,0.9869281045751636,0.678922786445394
4,0.9861538971148432,0.9861538971148432,-0.10941071251117958,0.9953625492729141,0.9477124183006538,0.6357613700354434
5,0.9819801914604659,0.9819801914604659,0.5219782039815827,0.9941038126469908,0.9607843137254903,0.6504355891218656
6,0.9853257809135779,0.9853257809135779,-0.009804895822981882,0.9953625492729141,0.9607843137254903,0.7979396468912519
7,0.991155718970486,0.991155718970486,-0.703600649243102,0.9972837788598498,0.8431372549019609,0.3517837622975256
8,0.9810858259630992,0.9810858259630992,0.1660207360296797,0.996488787306635,0.9607843137254903,0.6829639935075691
9,0.9900626055848157,0.9900626055848157,-0.006591804962072279,0.996919407731293,0.9738562091503269,0.8592864950809898
10,0.983934545695452,0.983934545695452,0.22846069760508794,0.9955612971612178,0.9607843137254903,0.6359932425717978
11,0.9861538971148432,0.9861538971148432,0.12484679850276591,0.9956606711053696,0.9607843137254903,0.7601444234655007
12,0.9846964126006162,0.9846964126006162,-0.4110768823081255,0.9961575408261288,0.9869281045751636,0.8125144920335222
13,0.9839676703435027,0.9839676703435027,-0.23972307794229689,0.9958925436417239,0.9477124183006538,0.6936963794759681
14,0.9825433104773262,0.9825433104773262,-0.20673092848388488,0.9946006823677499,0.9084967320261439,0.6472556229090066
15,0.9878432541654245,0.9878432541654245,-0.8524959422306139,0.9958925436417239,0.9738562091503269,0.7949584285666965
16,0.9866176421875519,0.9866176421875519,-0.41120938090032794,0.9958262943456226,0.9477124183006538,0.8259630991420717
17,0.9865182682434,0.9865182682434,-0.26512968299711814,0.9951306767365597,0.934640522875817,0.7191692338268907
18,0.9863195203550963,0.9863195203550963,0.11746000198747888,0.9960581668819769,1.0,0.8487197323528438
19,0.9849945344330718,0.9849945344330718,-0.3071317367252973,0.995627546457319,1.0,0.8123488687932692
20,0.9899632316406639,0.9899632316406639,-0.7697836960482295,0.9968862830832423,0.9738562091503269,0.8880055649408727
21,0.9821458147007189,0.9821458147007189,0.32432342906356626,0.9945675577196994,0.9869281045751636,0.8453078936036305
22,0.9872138858524628,0.9872138858524628,0.38938023783497305,0.9971844049156978,1.0,0.9034416509324589
23,0.9818476928682633,0.9818476928682633,-0.33644705025009114,0.9933419457418265,0.9607843137254903,0.7211898373579781
24,0.975520885090596,0.975520885090596,0.6091291530027494,0.9946669316638511,0.9738562091503269,0.8377223492000399
25,0.9859882738745902,0.9859882738745902,-0.3567855841531684,0.9966875351949386,1.0,0.8826062473086225
26,0.9900957302328665,0.9900957302328665,-0.4669250389214615,0.996919407731293,0.9738562091503269,0.7234423134254199
27,0.9858888999304384,0.9858888999304384,-0.33959389181489946,0.995196926032661,0.934640522875817,0.8153963364139256
28,0.9688297061843719,0.9688297061843719,0.4697737586538144,0.9894001126238035,0.9215686274509804,0.79568717082381
29,0.9891682400874492,0.9891682400874492,0.38232468780019213,0.9967869091390904,0.9869281045751636,0.7678624664612939
30,0.9840670442876546,0.9840670442876546,0.11282255126039287,0.9956606711053696,0.9738562091503269,0.7919440855940906
31,0.9880751267017789,0.9880751267017789,-0.34433071648613733,0.9965881612507868,0.9215686274509804,0.05465566928351387
32,0.9878763788134752,0.9878763788134752,0.0858590877471927,0.9960912915300276,1.0,0.44264467190036105
33,0.9728377885984962,0.9728377885984962,0.2514492033522144,0.9884726224783862,0.9607843137254903,0.3516843883533738
34,0.984199542879857,0.984199542879857,0.5449335850806586,0.9953625492729141,0.9607843137254903,0.8477922422074265
35,0.9907582231938786,0.9907582231938786,0.12507867103912024,0.9967869091390904,1.0,0.9139752890125543
36,0.9809533273708968,0.9809533273708968,-0.5373811653251185,0.993043823909371,0.9869281045751636,0.6628573321408461
37,0.9781708569346451,0.9781708569346451,0.07151611514127662,0.9959919175858757,0.934640522875817,0.830567425221107
38,0.9864520189472988,0.9864520189472988,0.26609029779058596,0.9938388154625858,0.9607843137254903,0.8722051078207295
39,0.9900294809367651,0.9900294809367651,0.25635165126370535,0.9973169035079003,0.9215686274509804,0.7357315578521978
40,0.9793964689125179,0.9793964689125179,0.6253271058994998,0.9931431978535229,0.9477124183006538,0.6519924475802444
41,0.9777402365099872,0.9777402365099872,0.4615257212892113,0.9928782006691179,0.9607843137254903,0.7304978634602008
42,0.985491404153831,0.985491404153831,-0.851965947861804,0.9952962999768129,1.0,0.8821756268839643
43,0.9894001126238035,0.9894001126238035,-0.5586803140216636,0.9962900394183313,1.0,0.8931398853887178
44,0.9878763788134752,0.9878763788134752,0.34244261154725236,0.9966544105468881,0.9738562091503269,0.929543873596343
45,0.9904269767133725,0.9904269767133725,-0.19338169531948723,0.9973169035079003,0.9738562091503269,0.9153665242306802
46,0.9874788830368678,0.9874788830368678,-0.6349332538341781,0.9960912915300276,0.9738562091503269,0.8702507535857432
47,0.9859220245784889,0.9859220245784889,-0.13968664082944118,0.9948656795521548,0.9477124183006538,0.8099638941336249
48,0.976978369604823,0.976978369604823,-0.16532511842061678,0.9946669316638511,0.9607843137254903,0.5340687005200571
49,0.99244758024446,0.99244758024446,-0.8467653781178575,0.9986087647818742,1.0,0.8808837656099905
50,0.9867170161317037,0.9867170161317037,-0.17483189241114314,0.9958594189936733,0.9869281045751636,0.8705820000662493
51,0.9852595316174767,0.9852595316174767,0.04435390373977277,0.9949319288482561,0.9738562091503269,0.6655735532809964
52,0.9895326112160059,0.9895326112160059,-0.6843883533737455,0.9962900394183313,0.9477124183006538,0.8493159760177549
53,0.9853589055616284,0.9853589055616284,-0.2964987247010501,0.9961906654741794,0.9869281045751636,0.8806187684255855
54,0.9816489449799597,0.9816489449799597,0.2497598463016331,0.9956606711053696,0.9215686274509804,0.6372851038457716
55,0.9751896386100899,0.9751896386100899,0.06419556792209083,0.9897644837523601,0.8823529411764707,0.28517009506773994
56,0.9860876478187419,0.9860876478187419,-0.7380834078637916,0.9958925436417239,0.9215686274509804,0.58922123952433
57,0.985491404153831,0.985491404153831,0.3482063003080592,0.9943688098313956,0.9738562091503269,0.8590877471926861
58,0.982311437940972,0.982311437940972,-0.8226506343370102,0.9957600450495215,1.0,0.8298718076120443
59,0.9827089337175794,0.9827089337175794,-0.09695584484414854,0.9925469541886118,0.934640522875817,0.7067474908079102
60,0.9782702308787969,0.9782702308787969,0.04869323263440326,0.9940044387028389,0.9215686274509804,0.45609327900891056
61,0.9861207724667926,0.9861207724667926,-0.7178111232568155,0.9957600450495215,0.9869281045751636,0.8970154692106397
62,0.9893338633277022,0.9893338633277022,0.07827354334360198,0.997515651396204,0.9869281045751636,0.842856669647885
63,0.9795952168008216,0.9795952168008216,0.08960217297691213,0.9947331809599524,0.9215686274509804,0.8470966245983638
64,0.9817151942760608,0.9817151942760608,-0.4372122296200603,0.994335685183345,0.9607843137254903,0.8747888303686774
65,0.9762165026996589,0.9762165026996589,-0.6124747424558614,0.9952962999768129,0.9607843137254903,0.45443704660637985
66,0.9826758090695287,0.9826758090695287,-0.5413892477392428,0.9922488323561562,1.0,0.8819106296995595
67,0.9894001126238035,0.9894001126238035,0.24356553711616816,0.9967206598429893,0.9607843137254903,0.7938321905329757
68,0.9912550929146379,0.9912550929146379,0.07572294544370467,0.997250654211799,0.9477124183006538,0.6908145350955647
69,0.990990095730233,0.990990095730233,-0.6064460565106495,0.9974162774520521,0.9607843137254903,0.8238099970187818
70,0.9867832654278049,0.9867832654278049,0.31885786213521483,0.9951306767365597,0.9869281045751636,0.8480903640398821
71,0.9873132597966148,0.9873132597966148,0.3177978733975952,0.9939381894067376,0.9869281045751636,0.9027791579714467
72,0.9861207724667926,0.9861207724667926,-0.012653615555334724,0.9965219119546855,0.8300653594771243,0.43813971976547755
73,0.9885057471264369,0.9885057471264369,0.3327702143164729,0.9978800225247607,0.9738562091503269,0.8390473351220644
74,0.9860545231706914,0.9860545231706914,-0.7786279770777436,0.9962900394183313,0.8823529411764707,0.7310941071251118
75,0.9820795654046176,0.9820795654046176,-0.22090827784954786,0.9948325549041043,0.9477124183006538,0.9124846798502766
76,0.9904932260094736,0.9904932260094736,0.0730729735996555,0.9968862830832423,0.9477124183006538,0.8705157507701481
77,0.9876113816290703,0.9876113816290703,0.4412534366822353,0.995461923217066,0.9869281045751636,0.7937328165888239
78,0.9874788830368678,0.9874788830368678,0.4450958958561066,0.9949981781443573,0.9869281045751636,0.8672364106131373
79,0.9851270330252742,0.9851270330252742,-0.552452880188148,0.995461923217066,0.9477124183006538,0.8239093709629336
80,0.9813839477955547,0.9813839477955547,0.6022723508562722,0.9927788267249661,0.9607843137254903,0.7467951903011031
