Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Lag-1 AC
1,-0.6645135645433767,-0.6645135645433767,-0.26609029779058596,0.6659047997615026,-0.411764705882353,0.9616416575573885
2,-0.7251647951240519,-0.7251647951240519,-0.24237304978634602,0.682102752658253,0.5032679738562092,0.9662459836364239
3,-0.39332207095299615,-0.39332207095299615,-0.579946338070158,0.8350061280598894,-0.5163398692810458,0.9067541157375204
4,-0.7203948458047633,-0.7203948458047633,-0.5850806585180034,0.6594786180396833,0.8300653594771243,0.9163933883202491
5,-0.4494683493987877,-0.4494683493987877,0.4172711914935904,0.5568584583788798,-0.15032679738562094,0.8467653781178575
6,-0.47275497697836966,-0.47275497697836966,-0.15280400145748452,0.47735930305740504,-0.18954248366013074,0.8501440922190202
7,-0.289973169035079,-0.289973169035079,-0.16178078107920105,0.7831991785087284,0.4901960784313726,0.9380237834973004
8,-0.3574812017622313,-0.3574812017622313,0.47798867137036677,0.8563384014044851,0.607843137254902,0.9275563947133062
9,-0.024644738149657164,-0.024644738149657164,-0.6712047434496009,0.6614329722746697,0.47712418300653603,0.8912186558017822
10,-0.6944913710291828,-0.6944913710291828,0.26963463513200175,0.4634800755241976,0.4509803921568628,0.8734638444466528
11,-0.4953459869488887,-0.4953459869488887,0.46374507270860255,0.3771572427042963,0.803921568627451,0.9227864453940178
12,-0.7937659412368744,-0.7937659412368744,0.5571234555632847,0.5859087747192686,0.09803921568627452,0.9020172910662825
13,-0.4846136009804896,-0.4846136009804896,-0.45341018251681076,0.7260922852694691,0.17647058823529413,0.9404087581569447
14,-0.8675014077975421,-0.8675014077975421,0.7911490940408759,0.3955414223723873,0.07189542483660132,0.8777037993971314
15,-0.5571897048593859,-0.5571897048593859,0.8538871774487397,0.4328729007254298,-0.281045751633987,0.8858524628175827
16,-0.06164497002219352,-0.06164497002219352,-0.1394547682930869,0.5682864619563418,0.411764705882353,0.6357613700354434
17,-0.6600748617045945,-0.6600748617045945,-0.027559707178111233,0.6325151545264832,-0.5816993464052289,0.9039053960051675
