Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Smax/Var,Lag-1 AC
1,0.9605608708821065,0.9605608708821065,0.2923049512712242,0.9835408983198816,0.9550072568940494,0.6923076923076924,0.9402105938318457
2,0.9409980936091364,0.9409980936091364,0.5539686781762787,0.989174550572808,0.9332365747460089,0.7387518142235124,0.9261211181784168
3,0.961006289308176,0.961006289308176,0.15873287366151762,0.9898551499278421,0.9259796806966618,0.6545718432510886,0.9479858178773138
4,0.9364013754520997,0.9364013754520997,-0.820567641242183,0.9775901081475937,0.9230769230769231,0.7982583454281568,0.8911361733212179
5,0.9650008017531668,0.9650008017531668,-0.3326776774101591,0.9883799241007001,0.9245283018867925,0.2220609579100145,0.9498138150979029
6,0.9599123416537495,0.9599123416537495,0.10897072710103871,0.9855933864272096,0.9492017416545719,0.806966618287373,0.9594134730165517
7,0.9327774511375986,0.9327774511375986,0.7593992196269175,0.9833734209916795,0.9129172714078375,0.7184325108853411,0.8548684233969391
8,0.9388422684269602,0.9388422684269602,0.4354517433677196,0.9778894293299124,0.8548621190130625,0.5399129172714079,0.9320825983929302
9,0.9734423717640351,0.9734423717640351,-0.11652858695458514,0.9917936109180964,0.941944847605225,0.6719883889695211,0.9235875781709337
10,0.9361697578705435,0.9361697578705435,0.31312202683200596,0.9718067953035081,0.9042089985486212,0.6298984034833093,0.9372672688723787
11,0.9580451476116663,0.9580451476116663,0.48138685481140986,0.9855541896057155,0.9535558780841801,0.7431059506531205,0.9071284764908155
12,0.9695690131309351,0.9695690131309351,-0.341258217969961,0.9893277745113759,0.9114658925979682,0.6226415094339622,0.9391023927877847
13,0.964751367434568,0.964751367434568,-0.5114543802448019,0.9873679334366703,0.8040638606676342,0.06095791001451379,0.9476758066527695
14,0.9535553298768862,0.9535553298768862,0.5330981524043686,0.981124948776881,0.9158200290275763,0.7097242380261248,0.9361626311757264
15,0.9783170310189392,0.9783170310189392,-0.5420813512213373,0.9932225132289272,0.9433962264150944,0.5123367198838897,0.9436029005647905
16,0.9705026101519768,0.9705026101519768,-0.0038555418960571556,0.9901081475938496,0.9637155297532656,0.783744557329463,0.9624672617456838
17,0.9439307285263776,0.9439307285263776,-0.4075828032854063,0.9855221194790386,0.9462989840348333,0.6371552975326561,0.9316621233987207
18,0.9329164216865323,0.9329164216865323,0.37963546956010474,0.9836549254369553,0.9738751814223513,0.8577648766328012,0.9559605893776614
19,0.9408769397972455,0.9408769397972455,-0.0969978798082919,0.9838936697133286,0.918722786647315,0.7227866473149492,0.9345983216633704
20,0.9478931708446914,0.9478931708446914,0.3205516061788444,0.9873964402159388,0.972423802612482,0.891146589259797,0.8671405918720045
21,0.9386890444883924,0.9386890444883924,0.5610811196037557,0.9771838865430185,0.941944847605225,0.8388969521044993,0.9062697097653535
22,0.8859443761469523,0.8859443761469523,0.32888627576745594,0.9701676554955724,0.8925979680696663,0.6705370101596517,0.9467564630213623
23,0.9048443708019313,0.9048443708019313,-0.26999483314625755,0.9764854704509415,0.865021770682148,0.5094339622641509,0.9243430078215475
24,0.9598054412314928,0.9598054412314928,0.27347266021700783,0.9880449694442959,0.9085631349782295,0.7126269956458636,0.9544105332549396
25,0.8986583997006787,0.8986583997006787,0.10793735635255759,0.9723626774992427,0.8984034833091438,0.7968069666182874,0.9075418247902078
26,0.9361412510912751,0.9361412510912751,0.647460224134552,0.9832380137901543,0.9143686502177067,0.6966618287373004,0.7739590571382756
27,0.9281807329805618,0.9281807329805618,0.1264489461400039,0.985550626258307,0.9158200290275763,0.7895500725689405,0.9532702620842018
28,0.9536016533931975,0.9536016533931975,0.1206228731270155,0.9875033406381953,0.9346879535558782,0.8635703918722787,0.9391344629144618
29,0.9449427191904075,0.9449427191904075,-0.08027152707253193,0.980202041798065,0.8359941944847605,0.6748911465892599,0.9257291499634756
30,0.9266413669000658,0.9266413669000658,0.6542804710745274,0.9858036239243145,0.9346879535558782,0.8185776487663281,0.8662319382828229
31,0.9541147754200294,0.9541147754200294,-0.13155522297646408,0.9880948563080156,0.9564586357039188,0.7532656023222062,0.9528711671744436
32,0.927867158408609,0.927867158408609,-0.10640868031428723,0.9804372227270297,0.6487663280116112,0.04499274310595066,0.8296791205658596
33,0.9717961052612824,0.9717961052612824,0.08147950184403227,0.9904181588183939,0.9608127721335269,0.5384615384615385,0.9539330447021932
34,0.9662301566091185,0.9662301566091185,-0.47367577101929553,0.9893313378587844,0.9680696661828737,0.802612481857765,0.9370392146382311
35,0.9388850285958629,0.9388850285958629,-0.28962175067258183,0.9836228553102785,0.8795355587808419,0.6182873730043542,0.8970228232401517
36,0.9347408555597126,0.9347408555597126,0.7376485470450942,0.9862134088762983,0.9361393323657475,0.8563134978229319,0.9105136565289431
37,0.960621447788052,0.960621447788052,0.5687743866588273,0.9876244944500864,0.8809869375907112,0.351233671988389,0.9148502503251554
38,0.962577725515349,0.962577725515349,-0.4691039962941187,0.9835480250146987,0.9332365747460089,0.6545718432510886,0.9564630213622677
39,0.9269691948616529,0.9269691948616529,0.006417588682808629,0.9785094517790012,0.9535558780841801,0.555878084179971,0.9383291464001282
40,0.9302759812567926,0.9302759812567926,-0.2215938852958469,0.9778003456446986,0.9216255442670538,0.6168359941944848,0.9221230423860173
41,0.9134819249202699,0.9134819249202699,0.21224009834838847,0.9863416893830063,0.7924528301886793,-0.21335268505079827,0.9095159192545477
42,0.9586295365866695,0.9586295365866695,0.581709337751884,0.9892671976054304,0.8737300435413644,0.7750362844702469,0.9701676554955724
43,0.9397829921428189,0.9397829921428189,0.6847969782813975,0.9806047000552318,0.8664731494920176,0.4775036284470247,0.9298555062625831
44,0.9440946425071712,0.9440946425071712,-0.28468295116432374,0.9869830919165463,0.9390420899854862,0.806966618287373,0.9400680599355032
45,0.9518627398578223,0.9518627398578223,0.41744971225969674,0.987481960553744,0.9506531204644412,0.6473149492017417,0.9501558964491241
46,0.9459297664225773,0.9459297664225773,0.5463110445952928,0.9870686122543516,0.9317851959361393,0.8490566037735849,0.9101501950932706
47,0.9486165303686283,0.9486165303686283,0.8439218201578562,0.9864913499741658,0.9433962264150944,0.8171262699564587,0.9533165856005131
48,0.907805512498441,0.907805512498441,-0.5725479715644876,0.9749639211074882,0.9462989840348333,0.8635703918722787,0.9262672154221675
49,0.9412190211484668,0.9412190211484668,0.46850891727688987,0.9838224027651575,0.8563134978229319,0.7387518142235124,0.842047499420956
