Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Smax/Var,Lag-1 AC
1,0.8711137242325441,0.8711137242325441,0.27279562420938225,0.9674096246013504,0.8388969521044993,0.7343976777939042,0.948185365332193
2,0.7243643879059988,0.7243643879059988,0.6078322376040052,0.9630160172466015,0.8867924528301887,0.7793904208998549,0.9374881964117091
3,0.7796140894756532,0.7796140894756532,0.26034172501648045,0.9731145438024479,0.795355587808418,0.7314949201741655,0.9589395478112137
4,0.8266146417945016,0.8266146417945016,-0.8149339889892564,0.9500062358579648,0.8708272859216255,0.802612481857765,0.8929819872788497
5,0.8785682470112423,0.8785682470112423,-0.5198710068238103,0.9711261959484739,0.7939042089985487,0.3439767779390421,0.9555828745523545
6,0.8410141286724749,0.8410141286724749,0.1639745576995029,0.9690701444937373,0.9158200290275763,0.8577648766328012,0.9632903949970603
7,0.6733443797102998,0.6733443797102998,0.685153313022253,0.9481247884262476,0.7198838896952106,0.7343976777939042,0.8834535963083721
8,0.643618935628129,0.643618935628129,0.5114294368129421,0.9442051062768363,0.702467343976778,0.5761973875181423,0.938161669071926
9,0.847877135781353,0.847877135781353,-0.18214050278831934,0.9791009674488212,0.8577648766328012,0.7590711175616836,0.9509398328790064
10,0.6611292247937712,0.6611292247937712,0.24715733960482475,0.9438808416626578,0.7242380261248186,0.7010159651669087,0.9482103087640529
11,0.8513977230210059,0.8513977230210059,0.36690006592192703,0.9670319097760436,0.8795355587808419,0.79100145137881,0.9183458941329484
12,0.8653624815151353,0.8653624815151353,-0.4657793931619363,0.9708019313342954,0.7706821480406386,0.5689404934687954,0.9436527874285102
13,0.866053770912395,0.866053770912395,-0.5441017692019883,0.9709907887469489,0.6008708272859217,0.14658925979680695,0.956195770306626
14,0.5191013237835622,0.5191013237835622,0.5986102945106633,0.9548310082491491,0.7939042089985487,0.760522496371553,0.939925526039161
15,0.8969016694282609,0.8969016694282609,-0.5773192937445436,0.9847346197017478,0.7939042089985487,0.5863570391872278,0.9603933935539045
16,0.9107132039838224,0.9107132039838224,-0.12039481889286795,0.9747608103052007,0.9245283018867925,0.8606676342525399,0.9662408466513442
17,0.5784524382204642,0.5784524382204642,-0.3123986673080692,0.9546956010476241,0.8940493468795356,0.7750362844702469,0.9393981506226949
18,0.8523598268213158,0.8523598268213158,-0.09774974611149713,0.9513816879576673,0.9303338171262701,0.8896952104499274,0.9632333814385232
19,0.2624654800719796,0.2624654800719796,-0.13068932955618506,0.9519090633741336,0.6647314949201742,0.7851959361393325,0.9402640440429739
20,0.6419869225150105,0.6419869225150105,-0.06036310510093181,0.9502093466602526,0.9230769230769231,0.9042089985486212,0.8522921232205534
21,0.6862793308033566,0.6862793308033566,0.2788818215831952,0.9448144386836993,0.9056603773584906,0.8171262699564587,0.8938870775206227
22,0.4302741995830883,0.4302741995830883,-0.34900849858356936,0.8910257095515527,0.7227866473149492,0.6937590711175617,0.9464892119657206
23,0.7911379549949221,0.7911379549949221,-0.5060274021415717,0.9164323765745541,0.760522496371553,0.5500725689404935,0.9436884209025957
24,0.7528070269210896,0.7528070269210896,0.30838990147344414,0.9629768204251072,0.8185776487663281,0.7706821480406386,0.9611844566786037
25,-0.22519286617848805,-0.22519286617848805,-0.10385019687494432,0.9091738379033263,0.486211901306241,0.7576197387518143,0.8979778003456447
26,0.7137848094499973,0.7137848094499973,0.626892582892369,0.9431111586224098,0.79100145137881,0.7198838896952106,0.7967217203841287
27,0.6950986156395317,0.6950986156395317,0.006047000552318847,0.9377126872984481,0.8708272859216255,0.8577648766328012,0.9597983145366757
28,0.7706166372690504,0.7706166372690504,-0.067553940171397,0.9670176563864094,0.8925979680696663,0.8809869375907112,0.954888021807686
29,0.6393571721274965,0.6393571721274965,-0.4109466032390828,0.9214139362517147,0.6647314949201742,0.6487663280116112,0.896588094856308
30,0.3586509166711208,0.3586509166711208,0.3188162559908778,0.9418319169027383,0.802612481857765,0.8432510885341075,0.8605804692928537
31,0.8343649224081101,0.8343649224081101,-0.08766190959787624,0.9645126231581947,0.8838896952104499,0.7895500725689405,0.9603185632583248
32,0.4682808630427423,0.4682808630427423,0.08863114009300335,0.9374383095479892,0.14949201741654572,0.027576197387518143,0.8534609011705596
33,0.8514476098847257,0.8514476098847257,-0.1749389776756285,0.9771696331533842,0.7880986937590712,0.5544267053701016,0.9624636983982753
34,0.6524881073280239,0.6524881073280239,-0.43454665312594654,0.9712544764551819,0.9216255442670538,0.8519593613933237,0.9444295971635753
35,0.49068362820033135,0.49068362820033135,-0.40776097065583405,0.9450282395282128,0.6952104499274311,0.6182873730043542,0.8796586313182603
36,0.6723038822670016,0.6723038822670016,0.5867158408609047,0.9434960001425338,0.8345428156748912,0.8519593613933237,0.9245496819712438
37,0.767060416555312,0.767060416555312,0.38438541165570933,0.9614089475653428,0.6037735849056605,0.3613933236574746,0.9271794323587578
38,0.898672653090313,0.898672653090313,-0.5988989256507563,0.969722237069503,0.895500725689405,0.7982583454281568,0.9626774992427886
39,0.5124449908243803,0.5124449908243803,-0.5109341315231528,0.9133999679298732,0.7982583454281568,0.621190130624093,0.9288328255563275
40,0.697935040176742,0.697935040176742,-0.3180679530350811,0.9405740552675182,0.7648766328011611,0.7184325108853411,0.9248596931957881
41,0.6185507866089404,0.6185507866089404,0.21320576549610704,0.9329199850339408,0.40783744557329465,-0.18577648766328012,0.9040711244142747
42,0.8081956990396778,0.8081956990396778,0.21094660323908276,0.9649936750583498,0.7895500725689405,0.7619738751814223,0.9733924849003154
43,0.7755055499135889,0.7755055499135889,0.7153847524364387,0.9487091774012506,0.6937590711175617,0.532656023222061,0.9357279027918827
44,0.816541058670515,0.816541058670515,-0.584396101697935,0.9556719582375682,0.8447024673439768,0.795355587808418,0.9519233167637678
45,0.6312149232989469,0.6312149232989469,0.2805815382970762,0.9624031214923298,0.8737300435413644,0.7547169811320755,0.9525611559498993
46,0.49937463252979847,0.49937463252979847,0.4702264507278137,0.958440679174016,0.8737300435413644,0.8969521044992744,0.9300016035063338
47,0.6116592727207938,0.6116592727207938,0.8175174158604592,0.9613056104904947,0.8751814223512338,0.8490566037735849,0.9487483742227448
48,0.814713061449926,0.814713061449926,-0.7521478076505068,0.9203235519446967,0.8853410740203194,0.8998548621190131,0.9535196964028007
49,0.4068451903718353,0.4068451903718353,0.7175583943556577,0.9578847969782812,0.690856313497823,0.714078374455733,0.8679815418604236
50,-0.018041227929516988,-0.018041227929516988,0.27622356441641277,0.8741390061824077,0.26705370101596515,0.362844702467344,0.890990076077467
51,0.6030609154239492,0.6030609154239492,0.7594384164484115,0.9290786965275178,0.7779390420899855,0.7474600870827287,0.9171628627933079
52,0.8290555347693623,0.8290555347693623,0.41934541308104833,0.9661909597876245,0.8795355587808419,0.841799709724238,0.9566803855541894
53,0.8598606731163254,0.8598606731163254,-0.698775990165161,0.9761505157945374,0.9245283018867925,0.8127721335268506,0.9524934523491366
54,0.8971511037468597,0.8971511037468597,-0.3982717765068505,0.9750886382667877,0.9129172714078375,0.7677793904208999,0.9673312309583623
55,0.44765620824202257,0.44765620824202257,-0.2611506048782226,0.9504480909366259,0.38461538461538464,0.22496371552975328,0.9547490512587524
56,0.827142017210968,0.827142017210968,0.7262030751688135,0.9798385803623922,0.7851959361393325,0.6850507982583455,0.9638783473194719
57,0.1686924296684305,0.1686924296684305,-0.11847417463965648,0.9429864414631103,-0.4673439767779391,-0.4775036284470247,0.8450656546760026
58,0.840579400288631,0.840579400288631,-0.13041138845831773,0.9564630213622677,0.7735849056603774,0.5965166908563135,0.9534127959805441
59,0.8339943342776204,0.8339943342776204,0.5493541432821992,0.9589074776845368,0.8809869375907112,0.79100145137881,0.9398471323961729
60,0.7267197605430541,0.7267197605430541,0.42801147397865547,0.9556220713738485,0.6487663280116112,0.37735849056603776,0.9483884761344806
61,0.8913713542501825,0.8913713542501825,-0.3940955333440233,0.9765139772302099,0.9317851959361393,0.8795355587808419,0.9592602490779838
62,0.5160368450122044,0.5160368450122044,-0.6060398738575017,0.9125661446362712,0.30188679245283023,-0.2844702467343977,0.923890462700661
63,-0.06863363443618935,-0.06863363443618935,0.616501861849021,0.8909793860352414,0.4223512336719884,0.5573294629898404,0.881785949721168
64,0.1285121242895576,0.1285121242895576,0.2495198389366971,0.9158871844210451,0.8403483309143687,0.8708272859216255,0.9326598606731163
65,0.8093680403370926,0.8093680403370926,-0.16631211359951537,0.9619577030662603,0.802612481857765,0.6052249637155298,0.9443832736472643
66,0.7571400573698932,0.7571400573698932,-0.056913784809449995,0.9357207760970655,0.7547169811320755,0.6763425253991292,0.9281165927272078
67,0.869414007518663,0.869414007518663,-0.2578509451779001,0.9716321912804888,0.9085631349782295,0.8200290275761974,0.9510894934701658
68,0.8448126570099951,0.8448126570099951,0.3454772213016908,0.9727118855452811,0.9129172714078375,0.7677793904208999,0.9699823614303276
69,0.48640761131006466,0.48640761131006466,0.5837832059436634,0.9342384235751063,0.6879535558780842,0.6995645863570392,0.8940367381117822
70,0.8608227769166354,0.8608227769166354,0.43187770591693836,0.9729470664742459,0.9375907111756169,0.8476052249637156,0.9642596254921872
71,-0.05517130792666631,-0.05517130792666631,0.34461489122882033,0.94597252659148,0.7808417997097243,0.8272859216255444,0.9590713916653304
72,0.695376556737399,0.695376556737399,0.7319650079284479,0.9685249523402283,0.8461538461538463,0.802612481857765,0.9555116076041832
73,0.3045236695351613,0.3045236695351613,0.41922425926915746,0.9599515384752435,0.8751814223512338,0.8534107402031931,0.9171379193614482
74,0.48298679779785125,0.48298679779785125,-0.3638783473194719,0.8732909294991714,0.8461538461538463,0.8577648766328012,0.9165000801753167
75,0.5774012507349404,0.5774012507349404,-0.5515491652858695,0.9217310741710762,0.4034833091436865,0.31494920174165464,0.936903807436706
76,0.663962085983573,0.663962085983573,-0.6026154969978798,0.9538510877117964,0.9404934687953557,0.9216255442670538,0.926712633848237
77,0.6630320523099399,0.6630320523099399,-0.6394498191601189,0.9380939654711635,0.8505079825834543,0.8940493468795356,0.9474762591978904
78,0.31461506939619077,0.31461506939619077,0.14524916706754323,0.9436812942077787,0.9027576197387519,0.8998548621190131,0.9000659219270583
79,0.8786252605697792,0.8786252605697792,0.2113884583177437,0.9721845101288149,0.9361393323657475,0.8853410740203194,0.9393268836745238
80,0.7876351844923121,0.7876351844923121,0.5103568692429667,0.9561280667058634,0.8461538461538463,0.6661828737300436,0.9421027313057886
81,0.6152689436456608,0.6152689436456608,0.38885384930603806,0.9561530101377234,0.8505079825834543,0.79100145137881,0.904887130970834
