Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Smax/Var,Lag-1 AC
1,-0.6529477791437276,-0.6529477791437276,0.42042867069324924,0.8628823917187806,0.6182873730043542,0.7416545718432511,0.9411833876743813
2,-0.3634079854615425,-0.3634079854615425,0.70450228945071,0.7407949828068487,0.6923076923076924,0.8171262699564587,0.9394551641812318
3,-0.5995046947102107,-0.5995046947102107,0.6017531669250094,0.822402765157589,0.6110304789550073,0.8621190130624093,0.9623710513656528
4,-0.09170987225399539,-0.09170987225399539,-0.5946300354553067,0.8572451761184456,0.7402031930333818,0.7968069666182874,0.8965275179503625
5,-0.36299463716215014,-0.36299463716215014,-0.3882623336362178,0.874441890712135,-0.005805515239477504,0.39477503628447025,0.9574607586366632
6,-0.6053450211128334,-0.6053450211128334,0.12559374276195057,0.8904805173980437,0.7779390420899855,0.8214804063860669,0.962616922336843
7,-0.6937837404457747,-0.6937837404457747,0.440027081440305,0.6686478878258235,0.005805515239477504,0.6821480406386067,0.8970727101038715
8,-0.5488517112975929,-0.5488517112975929,0.817439022217471,0.6403834161811606,-0.08127721335268505,0.5573294629898404,0.9307499064621304
9,-0.38348388476134476,-0.38348388476134476,0.3490548220998806,0.9032764979421668,0.4891146589259797,0.7677793904208999,0.9594099096691432
10,-0.18135656635843708,-0.18135656635843708,0.3945445151175013,0.7109590749550126,0.17851959361393324,0.613933236574746,0.9385001870757389
11,-0.5031767242147273,-0.5031767242147273,-0.26474245906604665,0.8664742459066046,0.4136429608127722,0.7851959361393325,0.9182318670158747
12,-0.3101893919147647,-0.3101893919147647,-0.36491171806795303,0.8195734673151958,0.09579100145137882,0.41074020319303345,0.9256756997523473
13,-0.4728740178523705,-0.4728740178523705,-0.20121153811890888,0.8740249790653339,-0.09579100145137882,0.10449927431059507,0.9582019348976427
14,-0.6542769077271188,-0.6542769077271188,0.7311596914141144,0.5620966736151941,0.1640058055152395,0.760522496371553,0.922992499153705
15,0.3437311810714985,0.3437311810714985,-0.20547686496694995,0.9295811285121242,0.5892597968069666,0.5965166908563135,0.9640565146898997
16,-0.6539241363336719,-0.6539241363336719,-0.14048140823489585,0.9188839595916403,0.841799709724238,0.8461538461538463,0.9663762538528693
17,-0.6932385482922657,-0.6932385482922657,0.12868672831257683,0.5628200331391309,0.6342525399129173,0.7851959361393325,0.9445151175013807
18,-0.5146542662176848,-0.5146542662176848,-0.47029415432857624,0.8539811498922086,0.8330914368650219,0.865021770682148,0.9624280649241898
19,-0.8223279348620093,-0.8223279348620093,0.16151584798759955,0.28062073511857033,-0.6095791001451379,0.690856313497823,0.9323391594063462
20,-0.5904466655976625,-0.5904466655976625,-0.14681347657989913,0.6404404297396974,0.5457184325108854,0.8403483309143687,0.8015607461649473
21,-0.6885848165766921,-0.6885848165766921,0.04666203431503554,0.6481158800577261,0.5341074020319303,0.7300435413642962,0.8808167192260408
22,-0.6108753362909116,-0.6108753362909116,-0.29458905696010834,0.4053806545869189,-0.04208998548621191,0.6865021770682148,0.9457052755358383
23,0.18713631585511428,0.18713631585511428,-0.6687690416377144,0.7887683289682328,0.5515239477503628,0.6052249637155298,0.943920038484152
24,-0.5951182140502789,-0.5951182140502789,0.17197783597911878,0.8360717658168082,0.5312046444121916,0.7460087082728593,0.9666541949507366
25,-0.7809360913642275,-0.7809360913642275,0.1074064175886828,-0.21686175993728507,-0.08417997097242381,0.737300435413643,0.8897001443155699
26,-0.757343168172181,-0.757343168172181,0.5766992712954548,0.7109626383024213,-0.4629898403483309,0.5732946298984035,0.7906818465266271
27,-0.7151388814652484,-0.7151388814652484,0.2608013968321841,0.7716428813227144,0.6473149492017417,0.8214804063860669,0.9590393215386532
28,-0.609781388636485,-0.609781388636485,-0.1603791401642703,0.8266075150996846,0.8185776487663281,0.8940493468795356,0.9563739376770537
29,-0.305881304897821,-0.305881304897821,-0.5505300479270225,0.5839934434407682,0.46008708272859217,0.6444121915820029,0.8661250378605663
30,-0.8392146382311543,-0.8392146382311543,-0.13074990646213053,0.029404742815400786,-0.07111756168359942,0.8258345428156749,0.8320344932029147
31,-0.4907976553174051,-0.4907976553174051,0.1955921392556167,0.8657188162559908,0.6066763425253991,0.6705370101596517,0.9463680581538296
32,-0.685890925935824,-0.685890925935824,0.18803071605466173,0.5268979279134819,-0.48040638606676345,0.001451378809869376,0.8612824487323391
33,-0.5185169348085591,-0.5185169348085591,-0.2717052399023642,0.8641117465747322,0.013062409288824383,0.5413642960812772,0.9707306643861243
34,-0.7594883033121315,-0.7594883033121315,0.07393945872752863,0.7369465676056086,0.17706821480406387,0.8229317851959361,0.9519553868904448
35,-0.8605875959876708,-0.8605875959876708,0.07377554474673508,0.603431503554439,-0.4891146589259797,0.4818577648766328,0.8623122561334117
36,-0.38488428029290717,-0.38488428029290717,0.3189409731501773,0.6711279776221782,0.6284470246734398,0.83744557329463,0.939686781762788
37,-0.5104388262333636,-0.5104388262333636,0.3637179966860869,0.8133162292657722,-0.055152394775036286,0.2772133526850508,0.9290074295793468
38,-0.027476971867372208,-0.027476971867372208,-0.3386320309298555,0.9158230441676911,0.7721335268505081,0.8693759071117562,0.9634614356726708
39,-0.5618543659914123,-0.5618543659914123,-0.6132200188857412,0.470889233345805,0.04208998548621191,0.6081277213352685,0.9151103746859799
40,-0.6899103818126748,-0.6899103818126748,0.03710157321788087,0.6969444295971635,-0.38896952104499277,0.6328011611030478,0.9172555098259304
41,-0.6219894168581965,-0.6219894168581965,0.5847132396172965,0.6299249915370498,-0.49056603773584906,-0.216255442670537,0.8860405865269834
42,-0.45736276658292796,-0.45736276658292796,-0.04329110766654195,0.8142818964134907,0.6342525399129173,0.7285921625544268,0.9690915245781886
43,-0.7176617314305057,-0.7176617314305057,0.30770573877100144,0.7514814616851069,-0.1756168359941945,0.44992743105950656,0.9369216241737487
44,-0.721877171414827,-0.721877171414827,-0.44699698897143975,0.8659718139219983,0.37155297532656023,0.7997097242380262,0.9559641527250698
45,-0.7160190282751616,-0.7160190282751616,0.47413187948759056,0.7146364494806421,0.39332365747460085,0.7416545718432511,0.9429187378623478
46,-0.7066723680225203,-0.7066723680225203,0.4593653678265362,0.5832487038323801,0.6110304789550073,0.9056603773584906,0.9402141571792542
47,-0.1860744383273647,-0.1860744383273647,0.5923566198086482,0.6318598891798956,0.6429608127721336,0.8722786647314951,0.9558643789976302
48,-0.17156805102713488,-0.17156805102713488,-0.6644324478415022,0.8323730112067276,0.806966618287373,0.8824383164005806,0.9575070821529744
49,-0.9242966843052363,-0.9242966843052363,0.8569351648939012,0.5300194202433766,-0.1393323657474601,0.6357039187227866,0.8607443832736472
50,-0.7405954353519697,-0.7405954353519697,0.13231065262707786,-0.21304185151531346,-0.44992743105950656,0.3381712626995646,0.8799864592798474
